name,state,published,closing
214088 Red Oak Lumber,"
								West Virginia","
								08/13/2021","
								08/25/2021"
ISDN PRI Trunking and Long Distance Phone Services,"
								Hawaii","
								08/13/2021","
								09/07/2021"
219533 Tempered Glass Panels,"
								West Virginia","
								08/13/2021","
								08/25/2021"
OCCUPATIONAL & ENVIRONMENTAL HEALTH CLINIC SERVICES,"
								Rhode Island","
								08/13/2021","
								09/09/2021"
HVAC Renovation at Thomas Edison Elementary School,"
								Tennessee","
								08/13/2021","
								09/09/2021"
RELOCATION SERVICES,"
								West Virginia","
								08/13/2021","
								08/20/2021"
Wheeling AASF#2Road Paving (Construction),"
								West Virginia","
								08/13/2021","
								08/30/2021"
BUILDINGS RENOVATION PROJECT-2200000006,"
								West Virginia","
								08/13/2021","
								08/25/2021"
On Call - Interim 1 year Sewer Latreal Replacement Services,"
								California","
								08/13/2021","
								09/08/2021"
Mars Dr. & Old Hewitt Rd. Improvements,"
								Texas","
								08/13/2021","
								09/01/2021"
DLD Translation Services,"
								Texas","
								08/13/2021","
								08/18/2021"
Exterior Pylon Signage,"
								Texas","
								08/13/2021","
								08/25/2021"
Measurement Uncertainty Calculation,"
								Texas","
								08/13/2021","
								08/23/2021"
2ND AVENUE BRIDGE & RCB REPAIRS,"
								Kansas","
								08/13/2021","
								09/09/2021"
Thirty-Six (36) Month Contract for Motor Fuels,"
								Florida","
								08/13/2021","
								09/09/2021"
WKU-10288 Two (used) Fully restored Heavy Duty Transit Buses,"
								Kentucky","
								08/13/2021","
								09/09/2021"
Elkins Pointe MS & Hembree Springs ES  Roof Replacement,"
								Georgia","
								08/13/2021","
								09/09/2021"
Trailer Rental BID Re-Advertisement,"
								New Jersey","
								08/13/2021","
								08/17/2021"
Texas Success Initiative Pre-Assessment Activity,"
								Texas","
								08/13/2021","
								08/27/2021"
Training and Technical Assistance Services,"
								Texas","
								08/13/2021","
								09/09/2021"
Upgrade Fire Alarm & Security Systems-Center for Behavioral Medicine,"
								Missouri","
								08/13/2021","
								09/09/2021"
"Site Lighting at Tennessee College of Applied Technology (TCAT) - Newbern. Update non-functioning exterior lighting with LED fixtures, wiring, and controls. Alt. #1 - Entrance Drive Lighting RE-BID","
								Tennessee","
								08/13/2021","
								09/08/2021"
CLASSIFICATION & COMPENSATION STUDY,"
								Tennessee","
								08/13/2021","
								09/09/2021"
Marketing of Class A Recyclable Materials Collected from Within the Township,"
								New Jersey","
								08/13/2021","
								09/09/2021"
Rear-Mount Fire Apparatus Truck,"
								California","
								08/13/2021","
								09/09/2021"
RC Admin Bldg Elevator Repair & Maint Svc Contract,"
								Virginia","
								08/13/2021","
								09/09/2021"
Cardboard Boxes,"
								Maryland","
								08/13/2021","
								09/09/2021"
Ready Mix Concrete Contract,"
								North Carolina","
								08/13/2021","
								08/25/2021"
Massey Station – Roof Replacement,"
								Delaware","
								08/13/2021","
								09/02/2021"
Conference Space/Room Rental,"
								Texas","
								08/13/2021","
								08/17/2021"
State Highway Safety Office Annual Attitude Survey 2021,"
								Vermont","
								08/13/2021","
								09/09/2021"
SUPPLY & INSTALLATION OF A FIRE SUPPRESSION SYSTEM AT THE BAYSIDE CENTER,"
								New Jersey","
								08/13/2021","
								09/09/2021"
Replacement of Window Security Glass – Phase I,"
								North Carolina","
								08/13/2021","
								09/09/2021"
Investigation / Design Services for West Hickman WWTP RAS/WAS Improvements Project,"
								Kentucky","
								08/13/2021","
								09/09/2021"
Amr Arthurs Southeast Paint Twp Clarion Cty,"
								Pennsylvania","
								08/13/2021","
								09/09/2021"
Purchase of the following vehicle: One (1) new 2022 modeI3/4-ton cargo van,"
								Ohio","
								08/13/2021","
								09/01/2021"
Thornwood Drive Pump Station project,"
								Ohio","
								08/13/2021","
								09/03/2021"
"2021 ADA CURB RAMP REPLACEMENT CITY OF PORT CLINTON OTTAWA COUNTY, OHIO","
								Ohio","
								08/13/2021","
								09/02/2021"
"potable water system flow modeling analysis, and subsequent distribution system improvements recommendations for the purposes of re-allocation of bulk supplier purchases","
								Ohio","
								08/13/2021","
								09/03/2021"
Cyber Security Tools,"
								North Carolina","
								08/13/2021","
								09/09/2021"
"Pedestrian Crossing Enhancements, Project No. 9188, HSIPL-5045(035)","
								California","
								08/13/2021","
								09/07/2021"
To conduct comprehensive business support analysis and/or grant writing services for Fairfield County townships and villages,"
								Ohio","
								08/13/2021","
								09/08/2021"
LaBelle Zone A Part 2 Septic Tank Conversion,"
								Florida","
								08/13/2021","
								09/09/2021"
Construction Inspection Services,"
								Indiana","
								08/13/2021","
								08/24/2021"
Building Envelope Renovations,"
								Pennsylvania","
								08/13/2021","
								09/09/2021"
CMAQ 5414 (635) GGL MO ROUTE 94 TRAFFIC SIGNAL MODIFICATIONS,"
								Missouri","
								08/13/2021","
								09/08/2021"
"Flooring Replacement and Related Work at Reach Center, 390 W. Croser St., Akron, Ohio 44311","
								Ohio","
								08/13/2021","
								09/07/2021"
Main Street House Springs Reconstruction,"
								Missouri","
								08/13/2021","
								08/31/2021"
PERSONAL PROPERTY MAILERS 2022,"
								Missouri","
								08/13/2021","
								08/31/2021"
RECYCLING TRAILERS 2021,"
								Missouri","
								08/13/2021","
								08/31/2021"
Commercial Front Mower for The Kenton County Parks and Recreation Department,"
								Kentucky","
								08/13/2021","
								08/26/2021"
PAYROLL and PLACEMENT SERVICES,"
								Ohio","
								08/13/2021","
								08/30/2021"
Eagle's Beak Park Playground Design and Installation,"
								Georgia","
								08/13/2021","
								09/09/2021"
TRANSPORTATION SERVICES,"
								Ohio","
								08/13/2021","
								08/30/2021"
"MBTA QUINCY BUS MAINTENANCE FACILITY, EARLY RELEASE DEMOLITION PACKAGE","
								Massachusetts","
								08/13/2021","
								09/09/2021"
McDowell Road at Jackrabbit Trail,"
								Arizona","
								08/13/2021","
								09/09/2021"
Cardboard Boxes,"
								Maryland","
								08/13/2021","
								09/09/2021"
Metro Transit Bicycle Parking Plan,"
								Minnesota","
								08/13/2021","
								09/09/2021"
KITCHEN GREASE HOOD EXHAUST FIRE SUPPRESSION SYSTEM REPLACEMENT INSTALLATION,"
								California","
								08/13/2021","
								09/28/2021"
MAGNOLIA PARK INFRASTRUCTURE IMPROVEMENTS - PHASE II,"
								Georgia","
								08/13/2021","
								09/08/2021"
Concrete Repair Services at Charles Hickey School,"
								Maryland","
								08/13/2021","
								09/09/2021"
Smith Park Improvements,"
								Georgia","
								08/13/2021","
								09/08/2021"
Pierpont Nuisance Sand Maintenance FY 21/22,"
								California","
								08/13/2021","
								09/02/2021"
Austell-Powder Springs Trail Scoping Study,"
								Georgia","
								08/13/2021","
								09/09/2021"
Professional Consulting Services for Unified Development,"
								Georgia","
								08/13/2021","
								09/09/2021"
"Annual Contract Backflow Preventer Testing, Inspection, and Repairs Cobb County Water System","
								Georgia","
								08/13/2021","
								09/09/2021"
Enterprise Video Surveillance and Access Control System,"
								Georgia","
								08/13/2021","
								09/09/2021"
Miscellaneous HDPE Conduit - Materials Only,"
								Georgia","
								08/13/2021","
								08/31/2021"
Academic Attendance and Saturday School Program Provider,"
								California","
								08/13/2021","
								08/20/2021"
Janitorial Services Cobb County Water System,"
								Georgia","
								08/13/2021","
								09/09/2021"
Photovoltaic (Solar) System,"
								New Jersey","
								08/13/2021","
								09/09/2021"
Nesbitt Union Chapel Steel Framing,"
								Georgia","
								08/13/2021","
								08/26/2021"
Showers of Blessing Renovation,"
								Georgia","
								08/13/2021","
								08/23/2021"
BMX Track Bioretention Area at Fairgrounds Park,"
								Maryland","
								08/13/2021","
								09/09/2021"
"Replace failed bridge deck joints, perform concrete repairs, seal the bridge deck, and upgrade guardrail for York Bridge on Secondary 280 located around RP 11.8.","
								Montana","
								08/13/2021","
								09/09/2021"
Rehabilitation of 3 structures on the I-15 Bridges (RP 226.7) project,"
								Montana","
								08/13/2021","
								09/09/2021"
Traffic signal upgrades and pedestrian safety improvements on the US 93 North Signals ? Kalispell project located in Flathead County. The project is located at multiple intersections along or adjacent,"
								Montana","
								08/13/2021","
								09/09/2021"
00137 Panther Springs Creek Restoration,"
								Texas","
								08/13/2021","
								09/09/2021"
HVAC Replacement at Elmwood Park Board of Education Administration Office,"
								New Jersey","
								08/13/2021","
								09/09/2021"
Planting of Street Trees,"
								New York","
								08/13/2021","
								09/09/2021"
Pest Control Services,"
								Georgia","
								08/13/2021","
								08/26/2021"
Dump Truck,"
								Louisiana","
								08/13/2021","
								08/25/2021"
Drainage improvements on Lowell Avenue,"
								New Jersey","
								08/13/2021","
								09/09/2021"
MANNINO & NICHOLS DRIVE ROAD IMPROVEMENT PROJECT,"
								New Jersey","
								08/13/2021","
								09/09/2021"
"E. O Green Junior High School HVAC, Electrical and Fire Alarm Upgrades","
								California","
								08/13/2021","
								09/02/2021"
Food Service for the Correctional Center and Juvenile Justice Center,"
								Nebraska","
								08/13/2021","
								09/09/2021"
Stair Tread Replacement and Repair/Painting of Stairway Components,"
								New Jersey","
								08/13/2021","
								09/09/2021"
DRAKE DRIVE FLOOD MITIGATION,"
								California","
								08/13/2021","
								09/13/2021"
Roof Replacement,"
								New Jersey","
								08/13/2021","
								09/09/2021"
"SMD_Services_Surveying, Testing,Repair & Alterations of Fire Alarm Systems,QN/SI","
								New York","
								08/13/2021","
								09/09/2021"
"SMD_Services_Surveying, Testing, Repair & Alterations of Fire Alarm Systems, MN","
								New York","
								08/13/2021","
								09/09/2021"
"SMD_Services_Surveying, Testing, Repair & Alterations of Fire Alarm Systems, BK","
								New York","
								08/13/2021","
								09/09/2021"
AIR CONDITIONING INSTALLATION,"
								New Jersey","
								08/13/2021","
								09/09/2021"
FY22 Manhole Rehabilitation,"
								North Carolina","
								08/13/2021","
								09/09/2021"
