name,Location,Publishing Date,Closing Date
Sonoma Springs Avenue Extension,"
								New Mexico","
								08/14/2021","
								09/07/2021"
Technology Building Renovation and Addition,"
								Colorado","
								08/13/2021","
								09/13/2021"
Regional Resiliency & Recovery Roadmaps – DQ-NLAA-2022000103,"
								Colorado","
								08/13/2021","
								09/07/2021"
Inmate Healthcare Services,"
								Colorado","
								08/13/2021","
								10/08/2021"
Dynamic In-road Inductive Wireless Charging Technology Applications RFI,"
								California","
								08/13/2021","
								10/18/2021"
2021 Miscellaneous Concrete Replacement Project,"
								Colorado","
								08/13/2021","
								08/20/2021"
Community Center Dome HVAC,"
								Texas","
								08/13/2021","
								08/27/2021"
Campus Water Treatment Services,"
								Colorado","
								08/13/2021","
								08/23/2021"
On Call Stormwater Repair Services,"
								Georgia","
								08/13/2021","
								09/10/2021"
District-Wide Audio Visual Installation,"
								Colorado","
								08/13/2021","
								08/31/2021"
AUDITOR TO CONDUCT ON-SITE REVIEWS OF FTA SECTION 5310,"
								Colorado","
								08/13/2021","
								08/27/2021"
SANDAG Equity Action Plan,"
								California","
								08/13/2021","
								09/03/2021"
Electrical Safety Supplies Rebid,"
								Michigan","
								08/13/2021","
								08/23/2021"
Precast Items for Manholes & Catch Basins,"
								Rhode Island","
								08/13/2021","
								08/31/2021"
WATER TREATMENT SERVICES,"
								New York","
								08/13/2021","
								08/16/2021"
Firefighting Thermal Imaging Camera,"
								Colorado","
								08/13/2021","
								09/01/2021"
"Traffic, Street & Pole Light Maintenance & Repair","
								Rhode Island","
								08/13/2021","
								08/31/2021"
ME Cadaver Body Bag,"
								Michigan","
								08/13/2021","
								09/07/2021"
Architectural & Engineering Services under MPA-494-Stage II turf field thru RIDE,"
								Rhode Island","
								08/13/2021","
								08/24/2021"
Window Cleaning at Detroit People Mover Stations,"
								Michigan","
								08/13/2021","
								08/27/2021"
DEMO OF EXISTING BUILDINGS  AT THE FORMER ST. DENIS SCHOOL SITE,"
								New York","
								08/13/2021","
								09/10/2021"
Jet Power II Sewer Grease Liquefying Agent,"
								Georgia","
								08/13/2021","
								08/23/2021"
DIAGNOSTIC REAGENTS,"
								New York","
								08/13/2021","
								08/17/2021"
CERTIFICATION,"
								New York","
								08/13/2021","
								08/16/2021"
WATER TREATMENT,"
								New York","
								08/13/2021","
								08/16/2021"
Cleaning Services at Detroit People Mover,"
								Michigan","
								08/13/2021","
								08/27/2021"
HEMOGLOBIN TESTERS,"
								New York","
								08/13/2021","
								08/18/2021"
RFP-FY22 Batteries & Misc Parts,"
								North Carolina","
								08/13/2021","
								09/13/2021"
SANDERS FILTER,"
								New York","
								08/13/2021","
								08/27/2021"
Artist Selection Innovation Lab,"
								Georgia","
								08/13/2021","
								09/15/2021"
"Guide Rail Installation, Various Locations","
								New Jersey","
								08/13/2021","
								08/31/2021"
Manufactured Home,"
								Michigan","
								08/13/2021","
								09/03/2021"
Audio Visual Equipment,"
								New York","
								08/13/2021","
								08/27/2021"
2021-22 Water Distribution Materials,"
								Michigan","
								08/13/2021","
								08/30/2021"
PFAS Testing FY22 - WT,"
								Michigan","
								08/13/2021","
								08/24/2021"
File 4814 - 2021 Demolition Specification,"
								Michigan","
								08/13/2021","
								08/30/2021"
GREELEY WATER WELL CONTROL SYSTEM REPLACEMENT,"
								Colorado","
								08/13/2021","
								09/10/2021"
Freedom Tower Upgrades  - CM,"
								Florida","
								08/13/2021","
								09/10/2021"
SOUTHWEST WATER WELL CONTROL SYSTEM REPLACEMENT,"
								Colorado","
								08/13/2021","
								09/10/2021"
Freedom Tower Upgrades,"
								Florida","
								08/13/2021","
								09/10/2021"
FB 21-430: Franklin Park Site Amenities,"
								Idaho","
								08/13/2021","
								09/08/2021"
HOMES FOR HOPE: FOSTER CARE PROJECT,"
								Colorado","
								08/13/2021","
								09/13/2021"
Cooperative Electrical Services Bid,"
								New York","
								08/13/2021","
								08/31/2021"
Annual Contract - Purchase and Delivery of Ready Mix Concrete,"
								Georgia","
								08/13/2021","
								08/26/2021"
SIGNS AND DECALS,"
								New York","
								08/13/2021","
								08/27/2021"
Request for Proposal - Janitorial Services,"
								Georgia","
								08/13/2021","
								09/09/2021"
Final Settlement-B21-03/PN8506 - PID Resurfacing Highland Hills & Ptarmigan,"
								Colorado","
								08/13/2021","
								08/30/2021"
Architectural and/or Engineering Services,"
								New Mexico","
								08/13/2021","
								09/28/2021"
Park Pavilion Structure Painting,"
								Colorado","
								08/13/2021","
								09/08/2021"
Miscellaneous Police Gear & Equipment,"
								Rhode Island","
								08/13/2021","
								08/31/2021"
Enterprise Video Surveillance and Access Control System,"
								Georgia","
								08/13/2021","
								09/09/2021"
RFQ - Professional Consulting Services for Unified Development Code,"
								Georgia","
								08/13/2021","
								09/09/2021"
2021 City of Troy Street Paving (Fall),"
								New York","
								08/13/2021","
								09/07/2021"
"FENCING INSTALLATION, REPAIR AND MAINTENANCE","
								New York","
								08/13/2021","
								08/27/2021"
"RFP - Annual Contract - Backflow Preventer Testing, Inspection, and Repairs","
								Georgia","
								08/13/2021","
								09/09/2021"
Classroom Audio Systems,"
								Colorado","
								08/13/2021","
								08/24/2021"
Retirement System Investment Advising and Consulting,"
								Michigan","
								08/13/2021","
								09/15/2021"
The Core Collaborative,"
								Colorado","
								08/13/2021","
								08/18/2021"
Lift Station and Force Main Design,"
								Colorado","
								08/13/2021","
								09/10/2021"
Catamount Hammerhead,"
								Colorado","
								08/13/2021","
								08/30/2021"
Sonoma Ranch Blvd. Mile 1 Construction Project Re-Bid,"
								New Mexico","
								08/13/2021","
								09/02/2021"
Concession Vending,"
								New Mexico","
								08/13/2021","
								08/31/2021"
GO Bond Consultant,"
								New Mexico","
								08/13/2021","
								09/14/2021"
WOODY DEBRIS REMOVAL,"
								New York","
								08/13/2021","
								08/25/2021"
Office and Classroom Furnishings,"
								Florida","
								08/13/2021","
								09/23/2021"
Bid #7 HEMV 2021-2022 - Road Surfacing and Requirements Work Along Various Roads,"
								New York","
								08/13/2021","
								08/31/2021"
Facility MRO,"
								Florida","
								08/13/2021","
								09/23/2021"
"Scoreboards, Marquees, Digital Signage","
								Florida","
								08/13/2021","
								09/23/2021"
Modular & Pre-Engineered Buildings,"
								Florida","
								08/13/2021","
								09/23/2021"
2022 Season Requirements for Chipseal Aggregates,"
								Michigan","
								08/13/2021","
								08/27/2021"
2022 Season Requirements for Corrugated Steel Pipe,"
								Michigan","
								08/13/2021","
								08/27/2021"
2022 Snow and Ice Control Abrasives,"
								Michigan","
								08/13/2021","
								08/27/2021"
2022 Limestone Products,"
								Michigan","
								08/13/2021","
								08/27/2021"
PRESCHOOL TRANSPORTATION 2021-2022 SCHOOL YEAR,"
								New York","
								08/13/2021","
								08/26/2021"
CW22022-1 Grocery Products,"
								Oklahoma","
								08/13/2021","
								09/16/2021"
High Speed Telecommunications Service - ON BOCES 2,"
								New York","
								08/13/2021","
								08/31/2021"
STEEL(OCT),"
								New York","
								08/13/2021","
								08/31/2021"
Notice of Intent to Sole Source- PSI Technologies Inc.,"
								Florida","
								08/13/2021","
								08/24/2021"
FY21 WRF Medium Voltage Variable Frequency Drive Replacement,"
								Georgia","
								08/13/2021","
								09/09/2021"
"B20-15, Project No. 338 – Culvert No. 74E-8.50-68C.","
								Colorado","
								08/13/2021","
								08/30/2021"
Notice of Intent to Sole Source- United Labs Inc.,"
								Florida","
								08/13/2021","
								08/24/2021"
CONCESSIONAIRE FOR THE MERCER OAKS BANQUET FACILITY,"
								New Jersey","
								08/13/2021","
								09/08/2021"
"21-2463: Snow Plowing-Sectors 1, 2, 3 & 4","
								New York","
								08/13/2021","
								09/09/2021"
Request for Proposals for Snow Plowing and Removal Services,"
								Michigan","
								08/13/2021","
								08/31/2021"
"Riverbend Park Engineered Barrier, Off Freedom Way","
								Massachusetts","
								08/12/2021","
								09/13/2021"
Commissioning Services for Security Systems AMC Parking Garage,"
								Colorado","
								08/12/2021","
								09/14/2021"
Right of Way Inspection Services at Foothills & Baseline Trunk Sewer Replacement,"
								Colorado","
								08/12/2021","
								09/01/2021"
"R1 PS I-70 Over 32nd Ave Bridge Replacements CM, CI & MT Eng. Services","
								Colorado","
								08/12/2021","
								09/02/2021"
"Condiments, Spices, and Staples","
								Florida","
								08/12/2021","
								08/26/2021"
Buice Road (West) Traffic Calming Project,"
								Georgia","
								08/12/2021","
								08/26/2021"
Replace Roof - Buell Communications Center,"
								Colorado","
								08/12/2021","
								08/27/2021"
Curbside Management,"
								Colorado","
								08/12/2021","
								08/27/2021"
Financial Audit Services,"
								Colorado","
								08/12/2021","
								09/09/2021"
