name,link,number of times bought,price
Xiaomi 3D Men Electric Shaver Razor Enchen BlackStone3 IPX7 Waterproof,https://www.cigabuy.com/xiaomi-3d-men-electric-shaver-razor-enchen-blackstone3-ipx7-waterproof-p-20146.html,(1),$14.14
100 LED Solar Light  Solar Lamp Powered Sunlight 3 Modes PIR Motion Sensor,https://www.cigabuy.com/100-led-solar-light-solar-lamp-powered-sunlight-3-modes-pir-motion-sensor-p-19318.html,(12),$3.68
LED Flashlight Waterproof Torch 3 lighting modes Zoomable camping light,https://www.cigabuy.com/led-flashlight-waterproof-torch-3-lighting-modes-zoomable-camping-light-p-20068.html,(0),$2.71
Projector Light 4.9ft Green & Blue Aluminum Laser Show,https://www.cigabuy.com/projector-light-49ft-green-blue-aluminum-laser-show-p-11522.html,(2),$2.42
Mini Bluetooth Earbud 6 Hour Playtime Car Headset with Mic for iPhone,https://www.cigabuy.com/mini-bluetooth-earbud-6-hour-playtime-car-headset-with-mic-for-iphone-p-19725.html,(0),$1.19
Passport and Document Holder Multifunctional Wallet Organizer,https://www.cigabuy.com/passport-and-document-holder-multifunctional-wallet-organizer-p-20792.html,(0),$0.79
QCY A1 Wireless Bluetooth Business Headset Portable Stereo Headphone - Black,https://www.cigabuy.com/qcy-a1-wireless-bluetooth-business-headset-portable-stereo-headphone-black-p-21673.html,(0),$4.17
Kingston TF Card 8GB Class 4 SDHC Mobile phone,https://www.cigabuy.com/kingston-tf-card-8gb-class-4-sdhc-mobile-phone-p-19758.html,(0),$1.12
Mini 1200LM LED USB Rechargeable Tactical Flashlight,https://www.cigabuy.com/mini-1200lm-led-usb-rechargeable-tactical-flashlight-p-20801.html,(0),$1.60
NAVIFORCE 9182 Men Watch Top Brand Big Dial Sport Quartz Watches Waterproof,https://www.cigabuy.com/naviforce-9182-men-watch-top-brand-big-dial-sport-quartz-watches-waterproof-p-20148.html,(0),$17.64
12V 150W Mini Portable Car Air Purification Heater Demisting Defroster 2 Gears,https://www.cigabuy.com/12v-150w-mini-portable-car-air-purification-heater-demisting-defroster-2-gears-p-20450.html,(0),$2.03
Men Wallets Retro Frosted PU Wallet Two Folding Male Purse Credit Card Holder,https://www.cigabuy.com/men-wallets-retro-frosted-pu-wallet-two-folding-male-purse-credit-card-holder-p-19637.html,(0),$3.05
X96Q Android 10 TV Box Quad Core Allwinner H313 4K 2GB RAM 16GB ROM,https://www.cigabuy.com/x96q-android-10-tv-box-quad-core-allwinner-h313-4k-2gb-ram-16gb-rom-p-18997.html,(3),$21.68
AXGIO Super Mini Nano Wireless Stereo Earphone with Mic for Cellphone,https://www.cigabuy.com/axgio-super-mini-nano-wireless-stereo-earphone-with-mic-for-cellphone-p-20703.html,(0),$1.19
COOLBOSS Sports Digital Watch Wristwatch With Rubber Band For Kids,https://www.cigabuy.com/coolboss-sports-digital-watch-wristwatch-with-rubber-band-for-kids-p-14293.html,(7),$1.19
20pcs Strong BBQ Kit BBQ Tools Camp Shovel Cooking Roast Fork Stainless Steel,https://www.cigabuy.com/20pcs-strong-bbq-kit-bbq-tools-camp-shovel-cooking-roast-fork-stainless-steel-p-20154.html,(0),$8.84
Baellerry Men Wallet Luxury Long Clutch Handy Bag Male PU Leather Purse,https://www.cigabuy.com/baellerry-men-wallet-luxury-long-clutch-handy-bag-male-pu-leather-purse-p-20149.html,(0),$5.54
Digital Storage Bag Electronic Accessories Bag For Earphone Cables,https://www.cigabuy.com/digital-storage-bag-electronic-accessories-bag-for-earphone-cables-p-20912.html,(0),$1.60
S450 3.5mm Foldable Wireless Stereo Bluetooth Headphone w/ TF FM,https://www.cigabuy.com/s450-35mm-foldable-wireless-stereo-bluetooth-headphone-w-tf-fm-p-19818.html,(0),$2.38
JY011 2.4G Drone with WIFI FPV HD Camera Real time RC Quadcopter,https://www.cigabuy.com/jy011-24g-drone-with-wifi-fpv-hd-camera-real-time-rc-quadcopter-p-21725.html,(0),$9.45
Mini I8X Wireless Bluetooth V4.2 In-Ear Headphone for iPhone 6 - Right Earbuds,https://www.cigabuy.com/mini-i8x-wireless-bluetooth-v42-in-ear-headphone-for-iphone-6-right-earbuds-p-21404.html,(0),$1.19
Mini Wireless Grinding Machine Variable Speed Rotary Tools Drill Engraver Pen,https://www.cigabuy.com/mini-wireless-grinding-machine-variable-speed-rotary-tools-drill-engraver-pen-p-18782.html,(0),$13.08
JM-PJ1010 10 in 1 Multifunctional Pliers Outdoor Folding Plier With Knife,https://www.cigabuy.com/jm-pj1010-10-in-1-multifunctional-pliers-outdoor-folding-plier-with-knife-p-14549.html,(4),$5.75
X96 Mini Android 7.1 TV BOX 2GB 16GB Amlogic S905W Quad Core WiFi,https://www.cigabuy.com/x96-mini-android-71-tv-box-2gb-16gb-amlogic-s905w-quad-core-wifi-p-14830.html,(0),$24.09
